t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)"
86415.93517479706,0.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2431.7089978508,2589.583847383,1.7504749989945
86490.9126137824,1.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2479.9234811777,2527.1694915375,1.7417844097667
87023.72489060654,2.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2822.5501297398,2083.6342695482,1.6800264636954
87098.01867787239,3.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2870.3249886294,2021.789013985,1.6714151161214
87275.71434936523,4.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2984.5927617942,1873.8677056175,1.6508185192063
87424.40111938343,5.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3080.20626755,1750.0946200197,1.6335843263701
87474.88997199186,6.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3112.6732866323,1708.0655876124,1.6277321942549
87790.98502710868,7.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3315.9392286397,1444.9348443108,1.5910938091867
87882.46545697989,8.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3374.7660133426,1368.7827086798,1.5804903683496
87990.79933455845,9.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3444.4304618079,1278.6010583485,1.5679334546669
88058.08420226768,10.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3487.6982124302,1222.5903205445,1.5601345066844
88146.3499283008,11.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3544.457771489,1149.1142388305,1.5499036802087
88215.99372668422,12.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3589.2424400696,1091.1398284804,1.5418313100103
88372.77138172022,13.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3690.0588154628,960.63155182467,1.5236593076259
88451.81790657857,14.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3740.8899375498,894.8299187251,1.514497073136
88521.96816748074,15.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3786.0002884823,836.43390779362,1.506365999176
88708.11447972433,16.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3892.728822455,709.80100228285,1.4872899800797
88905.52985096734,17.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3841.0634784771,935.40630527197,1.4988280002238
88993.70525041333,18.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3817.9871986815,1036.1727125834,1.5039814466279
89145.28011971516,19.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3778.3187184027,1209.3917182722,1.512840300345
89253.18684363789,20.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3750.0785769492,1332.7069849199,1.5191469518812
89334.06158633395,21.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3728.9129434213,1425.1302380599,1.5238737084884
89707.96047713207,22.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3631.0603056839,1852.420028185,1.5457263783527
89769.81453689077,23.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3614.8725526546,1923.1065396006,1.5493414635561
89862.22200634854,24.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3653.4168481508,2033.6873371958,1.5200060213358
89953.6580871974,25.0,,-1000.0,,-1000.0,89954.15165624705,-132.04271492883,,-1000.0,,-1000.0,10.0,14.0,3770.7358680001,2149.3892938676,1.4471324223028
90007.6034667094,26.0,,-1000.0,,-1000.0,90008.0970356765,-131.30280426048,,-1000.0,,-1000.0,10.0,14.0,3839.9516413687,2217.6510337082,1.4041385196798
