t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)"
86502.1505474731,0.0,,-1000.0,,-1000.0,86502.64411577569,-132.80723308589,,-1000.0,10.0,2.0,179.58172134965,134.81617892019,1.7375190720816
88430.80116252754,4.0,88431.29473076695,-130.6911593681,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,361.75648041398,167.78894858329,1.6976409303992
90721.75688820846,8.0,,-1000.0,,-1000.0,,-1000.0,90722.2504564152,-129.36605391815,10.0,2.0,117.78769366371,394.65987597725,1.5960547257995
90921.94387413056,10.0,,-1000.0,,-1000.0,90922.43744241168,-132.14143427555,,-1000.0,10.0,2.0,226.85732405281,155.15416204126,1.5511304287201
91434.01650340985,12.0,,-1000.0,91434.51007166096,-131.12305469067,,-1000.0,,-1000.0,10.0,2.0,239.41649260124,311.96072692601,1.5500723878898
93214.9973240945,14.0,,-1000.0,93215.49089231827,-130.08066566365,,-1000.0,,-1000.0,10.0,2.0,334.72299446509,334.25135190135,1.7470635162521
93858.74911789074,15.0,,-1000.0,93859.24268619712,-132.91951688534,,-1000.0,,-1000.0,10.0,2.0,219.11348627464,301.64861485205,1.3597514752975
95158.31928240239,20.0,,-1000.0,,-1000.0,,-1000.0,95158.81285062683,-130.10773363015,10.0,2.0,192.42513599522,431.58719377018,1.8108230977151
95263.2187172734,21.0,,-1000.0,95263.71228553216,-131.39402305593,,-1000.0,,-1000.0,10.0,2.0,326.97128228223,254.24877131488,1.8712710922252
95601.64374699673,23.0,,-1000.0,,-1000.0,,-1000.0,95602.13731522142,-130.1174281201,10.0,2.0,189.43686427669,438.69699215744,1.1836901983027
95673.45789204142,24.0,,-1000.0,,-1000.0,95673.95146020444,-127.22036953351,,-1000.0,10.0,2.0,190.60897081237,205.42151024204,1.6259602775292
96082.4896965458,28.0,,-1000.0,,-1000.0,96082.983264714,-127.50190157149,,-1000.0,10.0,2.0,183.77906530034,197.92889809358,1.4739522975092
