t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:46:16-19069)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-16:46:16-19069)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-16:46:16-19069)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-16:46:16-19069)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-16:46:16-19069)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:46:16-19069)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:46:16-19069)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:46:16-19069)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:46:16-19069)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-16:46:16-19069)"
86543.54332585169,0.0,,-1000.0,,-1000.0,,-1000.0,86544.03689406662,-131.71735317203,10.0,0.0,357.72170900485,380.16882558659,1.8953512014963
86844.89419600247,3.0,86845.38776420655,-131.24888578128,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,84.26965044109,137.92713501398,1.6038577056045
88248.40904231275,11.0,,-1000.0,88248.90261048634,-129.78751002114,,-1000.0,,-1000.0,10.0,0.0,269.06244364022,150.99077550461,1.5939668818693
90284.66883403952,23.0,,-1000.0,90285.16240227551,-132.56165725041,,-1000.0,,-1000.0,10.0,0.0,258.22101524526,187.20849345071,1.8120134841044
90574.01188573323,25.0,,-1000.0,90574.505453959,-132.16206632344,,-1000.0,,-1000.0,10.0,0.0,217.702097933,160.81352244532,1.9112058425886
91014.81718914064,27.0,,-1000.0,91015.31075734664,-131.33402468146,,-1000.0,,-1000.0,10.0,0.0,240.01960507194,168.54412339795,1.082052935456
91178.86935221322,29.0,,-1000.0,91179.3629204344,-131.97534645777,,-1000.0,,-1000.0,10.0,0.0,301.07884151761,149.63980396936,1.6490058833924
92919.66298203908,40.0,,-1000.0,,-1000.0,92920.1565502758,-132.58908204737,,-1000.0,10.0,0.0,450.2300466932,314.5055478403,1.4295876657201
94019.72748439992,48.0,,-1000.0,94020.2210525834,-130.28671690336,,-1000.0,,-1000.0,10.0,0.0,238.76162214792,152.62549656619,1.4366472503785
95183.80636973838,58.0,95184.2999379163,-130.00956874452,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,71.946690326842,123.4831617787,1.3480892703034
95914.110910121,65.0,,-1000.0,,-1000.0,,-1000.0,95914.604478309,-130.50699359144,10.0,0.0,340.04339432141,357.24001720402,1.4743879305977
97153.49399687788,73.0,97153.98756511332,-132.5402385093,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,27.476469689916,121.12781827372,1.1060679830947
98626.44047559609,87.0,,-1000.0,,-1000.0,98626.93404384248,-132.95173381587,98626.93404382994,-132.47951185318,10.0,0.0,372.78711805851,386.2127968916,1.139067913028
100180.89161610644,95.0,,-1000.0,100181.38518430173,-130.85152037193,,-1000.0,,-1000.0,10.0,0.0,258.92000173205,102.68952190211,1.4527656946937
103951.77587567664,121.0,,-1000.0,103952.2694438406,-129.27131484169,,-1000.0,,-1000.0,10.0,0.0,262.2183431791,143.46665052398,1.6970944649366
104321.17730526211,124.0,,-1000.0,104321.67087349966,-132.61987961106,,-1000.0,,-1000.0,10.0,0.0,207.46887465685,147.13558271456,1.2160633357353
106763.3662090972,139.0,,-1000.0,106763.85977732023,-132.05113770101,,-1000.0,,-1000.0,10.0,0.0,256.520025709,89.43362637523,1.4689128001794
106838.9319417004,140.0,,-1000.0,,-1000.0,,-1000.0,106839.42550993332,-132.442847423,10.0,0.0,370.75516794656,288.42615701038,1.2469104022876
108320.71073989935,146.0,,-1000.0,108321.2043081054,-131.33599375932,,-1000.0,,-1000.0,10.0,0.0,291.58625795454,118.02861500831,1.1529943173267
108375.16666685347,147.0,,-1000.0,108375.66023502892,-129.88272029201,,-1000.0,,-1000.0,10.0,0.0,273.22611185554,122.45104304176,1.353205607288
108651.47865773752,149.0,,-1000.0,,-1000.0,108651.97222596596,-132.26743806927,108651.97222590716,-129.57957223197,10.0,0.0,371.44927557873,348.16841691729,1.4645388833058
110588.89043844341,163.0,110589.38400666064,-131.81259347921,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,116.11518982476,113.24436389587,1.1877193818058
112237.45339703633,171.0,,-1000.0,,-1000.0,,-1000.0,112237.94696524984,-131.65707961841,10.0,0.0,361.53564989842,296.03107235645,1.1610006933297
116618.3688806068,194.0,,-1000.0,116618.86244884317,-132.57575254413,,-1000.0,,-1000.0,10.0,0.0,225.29932515616,95.12080935153,1.7360035699545
118407.86029734203,205.0,118408.35386558047,-132.6542144864,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,109.64912307041,141.05185494502,1.6692970160892
120554.61713318236,218.0,,-1000.0,,-1000.0,120555.1107013613,-130.06185122245,,-1000.0,10.0,0.0,435.41232356945,371.48668615884,1.3207842040067
121011.93889480218,221.0,121012.43246299984,-130.95953488239,,-1000.0,,-1000.0,,-1000.0,10.0,0.0,76.23684428457,135.51602547394,1.3189482376914
